ticker,model,rmse,mean,std,q01,q05,q95,q99,skew,kurtosis,n,oos_r2
AES,boxcar,0.10428718458036015,0.001194225523138192,0.10441193071510708,-0.1090943347224423,-0.06448460615614139,0.06982628991278247,0.15885599697470748,1.6555080773980682,108.38602469061696,397.0,-2.4157276893911304
AES,ew,0.11392045104729989,0.0010232886665740082,0.11405959757850002,-0.10921081715287227,-0.06479600683982867,0.06903964767633873,0.15930404058258069,0.4736793083194471,120.54195582469613,397.0,-3.0759115017891645
BA,boxcar,0.17119720878647565,-0.0005973602088639954,0.1714121870811185,-0.19482329422176028,-0.09733760660161443,0.09818857553989749,0.21541502281179237,3.443047465668331,113.99551254445386,397.0,-0.3221783305731005
BA,ew,0.1795300894455378,-0.0016978263644487146,0.17974858739542524,-0.20547081985795335,-0.09933272980219295,0.09497318025621478,0.21556292602795252,1.615779207974086,111.97532946220633,397.0,-0.4540226454202394
C,boxcar,0.04497528477161334,-0.0008891528082862473,0.04502323480086462,-0.08564543905202412,-0.04654110081125524,0.05304770125909412,0.09285985788985145,-3.213705957279725,34.38490917239709,397.0,-0.158383155157358
C,ew,0.04574502266941647,-0.0009068090133578974,0.045793745001672555,-0.0863426166867312,-0.04581885249073045,0.053018850446922706,0.09286893176955612,-3.088892617915686,34.10100396582932,397.0,-0.19837318908243184
F,boxcar,0.06951712781933246,0.000439563326609216,0.0696034551599332,-0.14482832424479336,-0.07847747325724833,0.07601168785280583,0.13871659301902423,4.78580114937696,60.60532601808083,397.0,-0.11043119586886974
F,ew,0.0716091586434842,0.00018494060243914875,0.07169927812008403,-0.14576058621918656,-0.07843331692983445,0.07555104728981979,0.1388179699970052,4.050368962386449,58.23287743320084,397.0,-0.17827090954540648
GE,boxcar,,,,,,,,,,,
GE,ew,,,,,,,,,,,
JPM,boxcar,0.044125320655101274,-0.0013220572696191679,0.04416116451531429,-0.09809206252451119,-0.05097242716253925,0.05400824636264146,0.07943138513222998,-2.607606884333127,27.367463564677667,397.0,-0.10545212592718523
JPM,ew,0.045036673286324234,-0.001469786341441939,0.04506948178285728,-0.09688108570235311,-0.051437299958207505,0.05394971992715758,0.0791692322445024,-2.4385222214269833,26.664444779268273,397.0,-0.1515871141779932
LNC,boxcar,0.06953665384325435,-0.0028538205008815745,0.0695657375447482,-0.21451204501222293,-0.05326798464783664,0.068635462065177,0.16886004595156093,-4.633440989357924,44.765475045785315,397.0,-0.22213805396431563
LNC,ew,0.07006103194573,-0.003191038775542633,0.07007663718104179,-0.196109359143721,-0.05308250397049531,0.06333573465871321,0.14986489216221352,-5.116899037838511,50.943874467072916,397.0,-0.24063991679700436
LOW,boxcar,0.06045663107621891,-0.0030640284699016266,0.06045512444414938,-0.14899514894856855,-0.07399498039401309,0.06405621304121249,0.1430803221675048,-2.2007659918268128,31.74277288000723,397.0,0.009578694139809496
LOW,ew,0.060468053798063894,-0.0029409233144510466,0.06047270422258796,-0.1581627165699556,-0.07356779586313379,0.06850892369767304,0.15321601606902685,-2.402918397028039,29.85813294030539,397.0,0.009204396873911724
LUV,boxcar,0.10862223701462861,-0.004923521529969959,0.1086475173217702,-0.158264113580364,-0.0804116290344916,0.083386456722851,0.244678840072604,-4.045817363021093,95.24691207941517,397.0,0.03186748665933281
LUV,ew,0.10890608192132828,-0.004552489434208056,0.10894818965129206,-0.15756203591890747,-0.07574635593796591,0.08332172120561353,0.24208354450220979,-4.05417554305433,95.65526214115425,397.0,0.026801147850913698
MAR,boxcar,0.07405403975523324,-0.0023665782864854645,0.07410961108384638,-0.15201643726035044,-0.07568137804886323,0.06860263401096818,0.23300952210751802,-3.988577530442955,61.42055288701631,397.0,-0.1573699687214669
MAR,ew,0.07652126111825065,-0.002024443325079762,0.07659100017420623,-0.15271601244268268,-0.07450756823707046,0.06931552824029144,0.233878289987105,-3.62257170726731,60.333462812743555,397.0,-0.23577366828555735
MCD,boxcar,0.06231234088071421,0.00165290785979385,0.06236901428722966,-0.13373347325893276,-0.07642749368604591,0.07779222529219747,0.16902815998752796,0.5703414667027557,24.25145968807354,397.0,-0.3670480767773314
MCD,ew,0.06600511050570687,0.00200700020412276,0.06605783901079493,-0.13458790234679985,-0.07537350520085721,0.0775585511067975,0.17323502749211675,1.9670180946886897,36.91550753289601,397.0,-0.5338778636373898
NFLX,boxcar,0.06623912916922316,-0.003497425031156456,0.06625065539365538,-0.21512766034002684,-0.11448632157239202,0.09129120317864763,0.18120879440339951,-0.7004132990170231,4.5437745901592965,319.0,-0.10493721880157958
NFLX,ew,0.06571647842941006,-0.003694107740474084,0.0657156516337359,-0.21415380218631755,-0.11715238482359876,0.0916481650230103,0.16263991820443963,-0.7716570531992217,4.537665289268498,319.0,-0.08756929942594938
T,boxcar,0.03698660333703508,0.000315659104170994,0.03703192544098587,-0.1084108549732534,-0.05025418218226952,0.05458337222634709,0.09989948882399023,-0.7906933058347091,7.222998643169812,397.0,-0.10477010881083748
T,ew,0.03750499328950909,0.00026400854366095717,0.03755138782054496,-0.11184155166742171,-0.05143801369990895,0.05448840091059461,0.10021644093044939,-0.8122918624586578,7.372059102090039,397.0,-0.13595518963991138
WFC,boxcar,0.049329623043739466,-0.0009121069509238475,0.049383424838258874,-0.1430950517516727,-0.05122483133231244,0.05235762954101473,0.08839662254097125,0.8237547910208936,41.644164342163634,397.0,-0.11159404808217266
WFC,ew,0.04992829127086026,-0.0011572431607334856,0.04997786221598909,-0.14556857223953054,-0.04956237297641718,0.05067297827161502,0.08666464872500787,0.8253372456100725,42.58546326988095,397.0,-0.13873855605874108
WHR,boxcar,0.05173103595014445,0.003080437650297628,0.051704398753683226,-0.1014574633391625,-0.07114234998892335,0.08516161396621068,0.15485223324798697,0.4139963483385223,4.211476580727237,397.0,-0.03571972127805556
WHR,ew,0.05176006178767233,0.0033153963761450938,0.05171895010593123,-0.0995819946505364,-0.07228424035707265,0.08531640326563866,0.1548142692548281,0.4134475215674823,4.057639814694327,397.0,-0.03688231412946963
XOM,boxcar,0.053944586172750025,0.002539261437659648,0.05395278285232667,-0.11474967648993736,-0.04016238782793486,0.051184288757631764,0.12046170477489149,5.877831794759373,84.87363389333913,397.0,-0.03647090013417009
XOM,ew,0.05399510934404744,0.0025360754916847208,0.05400357594800098,-0.11551426318823704,-0.0388168590266444,0.048322875731278796,0.13180768192820247,5.872531613868865,84.51182937874245,397.0,-0.03841327555336549
XRX,boxcar,0.07993800523486022,0.004095021646452133,0.07993378328122787,-0.1931069932279469,-0.09387951972272755,0.11854423439849673,0.21863128053671477,0.9109902755068404,11.632067403018016,397.0,-0.03655660021146789
XRX,ew,0.07958111449142005,0.004267074358084565,0.0795669070223242,-0.1891883659226868,-0.09097951393378238,0.11893634745727641,0.25252719607383783,0.861765469566338,11.133614405710851,397.0,-0.027321652596775214
