label,date,qbin,mu0,mu0_se_hac,n,r2,mu1,mu2,mu1_se,mu2_se,success,cost,M,q_outlier
EX:SYNX,2024-01-01,Q0.8000_0.9000,4.3360555372020405e-08,8.87084198674493e-10,1600,0.06100708144139533,8.399848664408179e-07,0.21297797638477042,2.3818351603532013e-08,9.675780225547514e-14,True,5.689645505207599e-09,1,0.995
EX:SYNY,2024-01-01,Q0.8000_0.9000,8.740386841817485e-08,1.14206599063987e-09,1600,0.24985377620327798,8.836632164226245e-07,0.2242550274691223,2.6760698963701442e-06,0.6251492239126025,True,4.464150157917563e-09,1,0.995
ALL,2024-01-01,Q0.8000_0.9000,2.913756343304426e-08,4.537799804123017e-10,3000,0.11106854018895718,4.3348473461507367e-07,0.21675881550871182,8.312626065310058e-09,1.7455250314872122e-14,True,2.537310505245634e-09,1,0.995
ALL,2024-01-01,Q0.9000_0.9500,2.081563888830157e-08,4.206991608783664e-10,1600,0.061818716697632614,4.2967079047704654e-07,0.214755488338068,1.1948735573802714e-08,2.531510186672983e-14,True,1.5173028762985733e-09,1,0.995
EX:SYNX,2024-01-01,Q0.8000_0.9000,4.3360555372020405e-08,8.87084198674493e-10,1600,0.06100708144139533,8.399848664408179e-07,0.21297797638477042,2.3818351603532013e-08,9.675780225547514e-14,True,5.689645505207599e-09,1,0.9975
EX:SYNY,2024-01-01,Q0.8000_0.9000,8.740386841817485e-08,1.14206599063987e-09,1600,0.24985377620327798,8.836632164226245e-07,0.2242550274691223,2.6760698963701442e-06,0.6251492239126025,True,4.464150157917563e-09,1,0.9975
ALL,2024-01-01,Q0.8000_0.9000,2.913756343304426e-08,4.537799804123017e-10,3000,0.11106854018895718,4.3348473461507367e-07,0.21675881550871182,8.312626065310058e-09,1.7455250314872122e-14,True,2.537310505245634e-09,1,0.9975
ALL,2024-01-01,Q0.9000_0.9500,2.081563888830157e-08,4.206991608783664e-10,1600,0.061818716697632614,4.2967079047704654e-07,0.214755488338068,1.1948735573802714e-08,2.531510186672983e-14,True,1.5173028762985733e-09,1,0.9975
EX:SYNX,2024-01-01,Q0.8000_0.9000,4.3360555372020405e-08,8.87084198674493e-10,1600,0.06100708144139533,8.399848664408179e-07,0.21297797638477042,2.3818351603532013e-08,9.675780225547514e-14,True,5.689645505207599e-09,1,0.999
EX:SYNY,2024-01-01,Q0.8000_0.9000,8.740386841817485e-08,1.14206599063987e-09,1600,0.24985377620327798,8.836632164226245e-07,0.2242550274691223,2.6760698963701442e-06,0.6251492239126025,True,4.464150157917563e-09,1,0.999
ALL,2024-01-01,Q0.8000_0.9000,2.913756343304426e-08,4.537799804123017e-10,3000,0.11106854018895718,4.3348473461507367e-07,0.21675881550871182,8.312626065310058e-09,1.7455250314872122e-14,True,2.537310505245634e-09,1,0.999
ALL,2024-01-01,Q0.9000_0.9500,2.081563888830157e-08,4.206991608783664e-10,1600,0.061818716697632614,4.2967079047704654e-07,0.214755488338068,1.1948735573802714e-08,2.531510186672983e-14,True,1.5173028762985733e-09,1,0.999
EX:SYNX,2024-01-01,Q0.8000_0.9000,2.168027768589728e-07,4.435420993361036e-09,1600,0.061007081440972444,2.2379256675721236e-06,0.11299128243557427,1.8563507781681725e-05,1.7152326671153213,True,7.442137367087043e-08,5,0.995
EX:SYNY,2024-01-01,Q0.8000_0.9000,4.370193420908945e-07,5.710329953207045e-09,1600,0.24985377620257443,2.8280131575097534e-06,0.14351385022673604,1.4344183207135945e-05,1.0470954806374029,True,5.869001237037947e-08,5,0.995
ALL,2024-01-01,Q0.8000_0.9000,1.4568781716386302e-07,2.268899902063124e-09,3000,0.11106854018683376,1.2186774792196848e-06,0.12371001284536214,6.6808887987102304e-06,1.1317227236944558,True,3.285864598430499e-08,5,0.995
ALL,2024-01-01,Q0.9000_0.9500,1.0407819444137912e-07,2.10349580439064e-09,1600,0.06181871669774874,1.1276187733360663e-06,0.11420444327765217,6.878696954411837e-08,3.8245956198249e-13,True,1.8654980421957534e-08,5,0.995
EX:SYNX,2024-01-01,Q0.8000_0.9000,2.168027768589728e-07,4.435420993361036e-09,1600,0.061007081440972444,2.2379256675721236e-06,0.11299128243557427,1.8563507781681725e-05,1.7152326671153213,True,7.442137367087043e-08,5,0.9975
EX:SYNY,2024-01-01,Q0.8000_0.9000,4.370193420908945e-07,5.710329953207045e-09,1600,0.24985377620257443,2.8280131575097534e-06,0.14351385022673604,1.4344183207135945e-05,1.0470954806374029,True,5.869001237037947e-08,5,0.9975
ALL,2024-01-01,Q0.8000_0.9000,1.4568781716386302e-07,2.268899902063124e-09,3000,0.11106854018683376,1.2186774792196848e-06,0.12371001284536214,6.6808887987102304e-06,1.1317227236944558,True,3.285864598430499e-08,5,0.9975
ALL,2024-01-01,Q0.9000_0.9500,1.0407819444137912e-07,2.10349580439064e-09,1600,0.06181871669774874,1.1276187733360663e-06,0.11420444327765217,6.878696954411837e-08,3.8245956198249e-13,True,1.8654980421957534e-08,5,0.9975
EX:SYNX,2024-01-01,Q0.8000_0.9000,2.168027768589728e-07,4.435420993361036e-09,1600,0.061007081440972444,2.2379256675721236e-06,0.11299128243557427,1.8563507781681725e-05,1.7152326671153213,True,7.442137367087043e-08,5,0.999
EX:SYNY,2024-01-01,Q0.8000_0.9000,4.370193420908945e-07,5.710329953207045e-09,1600,0.24985377620257443,2.8280131575097534e-06,0.14351385022673604,1.4344183207135945e-05,1.0470954806374029,True,5.869001237037947e-08,5,0.999
ALL,2024-01-01,Q0.8000_0.9000,1.4568781716386302e-07,2.268899902063124e-09,3000,0.11106854018683376,1.2186774792196848e-06,0.12371001284536214,6.6808887987102304e-06,1.1317227236944558,True,3.285864598430499e-08,5,0.999
ALL,2024-01-01,Q0.9000_0.9500,1.0407819444137912e-07,2.10349580439064e-09,1600,0.06181871669774874,1.1276187733360663e-06,0.11420444327765217,6.878696954411837e-08,3.8245956198249e-13,True,1.8654980421957534e-08,5,0.999
EX:SYNX,2024-01-01,Q0.8000_0.9000,4.3418250742026967e-07,8.867406839996118e-09,1598,0.06116367582408422,3.6333844820990593e-06,0.09094303025140467,4.092797242480428e-05,2.329314341328884,True,2.913286247640805e-07,10,0.995
EX:SYNY,2024-01-01,Q0.8000_0.9000,8.729773692763798e-07,1.1483744684597111e-08,1598,0.24922358526381472,5.248758589209734e-06,0.13307695226514693,3.0108281007904792e-05,1.1842106927742038,True,2.329304174385614e-07,10,0.995
ALL,2024-01-01,Q0.8000_0.9000,2.913756343278516e-07,4.537799804127406e-09,3000,0.11106854018692736,2.0966194689577832e-06,0.10640690341444556,1.4422925926100189e-05,1.4201425240802397,True,1.29515161138776e-07,10,0.995
ALL,2024-01-01,Q0.9000_0.9500,2.0842440371713904e-07,4.205483273119296e-09,1598,0.061974081685552296,2.2560761217655335e-06,0.11423953769640072,4.103222608603147e-05,3.6885376255081432,True,7.451504027715469e-08,10,0.995
EX:SYNX,2024-01-01,Q0.8000_0.9000,4.3418250742026967e-07,8.867406839996118e-09,1598,0.06116367582408422,3.6333844820990593e-06,0.09094303025140467,4.092797242480428e-05,2.329314341328884,True,2.913286247640805e-07,10,0.9975
EX:SYNY,2024-01-01,Q0.8000_0.9000,8.729773692763798e-07,1.1483744684597111e-08,1598,0.24922358526381472,5.248758589209734e-06,0.13307695226514693,3.0108281007904792e-05,1.1842106927742038,True,2.329304174385614e-07,10,0.9975
ALL,2024-01-01,Q0.8000_0.9000,2.913756343278516e-07,4.537799804127406e-09,3000,0.11106854018692736,2.0966194689577832e-06,0.10640690341444556,1.4422925926100189e-05,1.4201425240802397,True,1.29515161138776e-07,10,0.9975
ALL,2024-01-01,Q0.9000_0.9500,2.0842440371713904e-07,4.205483273119296e-09,1598,0.061974081685552296,2.2560761217655335e-06,0.11423953769640072,4.103222608603147e-05,3.6885376255081432,True,7.451504027715469e-08,10,0.9975
EX:SYNX,2024-01-01,Q0.8000_0.9000,4.3418250742026967e-07,8.867406839996118e-09,1598,0.06116367582408422,3.6333844820990593e-06,0.09094303025140467,4.092797242480428e-05,2.329314341328884,True,2.913286247640805e-07,10,0.999
EX:SYNY,2024-01-01,Q0.8000_0.9000,8.729773692763798e-07,1.1483744684597111e-08,1598,0.24922358526381472,5.248758589209734e-06,0.13307695226514693,3.0108281007904792e-05,1.1842106927742038,True,2.329304174385614e-07,10,0.999
ALL,2024-01-01,Q0.8000_0.9000,2.913756343278516e-07,4.537799804127406e-09,3000,0.11106854018692736,2.0966194689577832e-06,0.10640690341444556,1.4422925926100189e-05,1.4201425240802397,True,1.29515161138776e-07,10,0.999
ALL,2024-01-01,Q0.9000_0.9500,2.0842440371713904e-07,4.205483273119296e-09,1598,0.061974081685552296,2.2560761217655335e-06,0.11423953769640072,4.103222608603147e-05,3.6885376255081432,True,7.451504027715469e-08,10,0.999
EX:SYNX,2024-01-01,Q0.8000_0.9000,1.0840932102822666e-06,1.891718526482509e-08,1592,0.061007125126885664,8.415095999696324e-06,0.08152087807705198,0.00010718019327183595,2.6337321189739593,True,1.8118711630703733e-06,25,0.995
EX:SYNY,2024-01-01,Q0.8000_0.9000,2.185256610855277e-06,2.1571514047783928e-08,1592,0.24985395500548535,1.3033741131029537e-05,0.13144999257687964,7.594493684557183e-05,1.2028859212604428,True,1.4491813547290844e-06,25,0.995
ALL,2024-01-01,Q0.8000_0.9000,7.284972201031344e-07,7.402814494926132e-09,2991,0.11106868458390806,5.02869715621371e-06,0.10203310535551284,3.686491268513723e-05,1.5134329790319623,True,8.066344173885076e-07,25,0.995
ALL,2024-01-01,Q0.9000_0.9500,5.20429052867132e-07,8.986354116504945e-09,1592,0.061818760950659746,4.163840559666819e-06,0.08290360549217674,0.00011844994489015107,5.769295537225583,True,4.5289806433509873e-07,25,0.995
EX:SYNX,2024-01-01,Q0.8000_0.9000,1.0840932102822666e-06,1.891718526482509e-08,1592,0.061007125126885664,8.415095999696324e-06,0.08152087807705198,0.00010718019327183595,2.6337321189739593,True,1.8118711630703733e-06,25,0.9975
EX:SYNY,2024-01-01,Q0.8000_0.9000,2.185256610855277e-06,2.1571514047783928e-08,1592,0.24985395500548535,1.3033741131029537e-05,0.13144999257687964,7.594493684557183e-05,1.2028859212604428,True,1.4491813547290844e-06,25,0.9975
ALL,2024-01-01,Q0.8000_0.9000,7.284972201031344e-07,7.402814494926132e-09,2991,0.11106868458390806,5.02869715621371e-06,0.10203310535551284,3.686491268513723e-05,1.5134329790319623,True,8.066344173885076e-07,25,0.9975
ALL,2024-01-01,Q0.9000_0.9500,5.20429052867132e-07,8.986354116504945e-09,1592,0.061818760950659746,4.163840559666819e-06,0.08290360549217674,0.00011844994489015107,5.769295537225583,True,4.5289806433509873e-07,25,0.9975
EX:SYNX,2024-01-01,Q0.8000_0.9000,1.0840932102822666e-06,1.891718526482509e-08,1592,0.061007125126885664,8.415095999696324e-06,0.08152087807705198,0.00010718019327183595,2.6337321189739593,True,1.8118711630703733e-06,25,0.999
EX:SYNY,2024-01-01,Q0.8000_0.9000,2.185256610855277e-06,2.1571514047783928e-08,1592,0.24985395500548535,1.3033741131029537e-05,0.13144999257687964,7.594493684557183e-05,1.2028859212604428,True,1.4491813547290844e-06,25,0.999
ALL,2024-01-01,Q0.8000_0.9000,7.284972201031344e-07,7.402814494926132e-09,2991,0.11106868458390806,5.02869715621371e-06,0.10203310535551284,3.686491268513723e-05,1.5134329790319623,True,8.066344173885076e-07,25,0.999
ALL,2024-01-01,Q0.9000_0.9500,5.20429052867132e-07,8.986354116504945e-09,1592,0.061818760950659746,4.163840559666819e-06,0.08290360549217674,0.00011844994489015107,5.769295537225583,True,4.5289806433509873e-07,25,0.999
EX:SYNX,2024-01-01,Q0.8000_0.9000,2.168186420564758e-06,2.1286108957458152e-08,1592,0.061007125126893325,2.4628920989915695e-05,3.4055551102712854e-05,0.0003177903406698519,2.6682765193918874,True,7.2455195326540835e-06,50,0.995
EX:SYNY,2024-01-01,Q0.8000_0.9000,4.37051322171027e-06,2.7345106619719114e-08,1592,0.24985395500546914,2.6067481870360775e-05,0.1314499956639033,0.00015188987391127147,1.2028859392719942,True,5.796725418921348e-06,50,0.995
ALL,2024-01-01,Q0.8000_0.9000,1.4569847826713387e-06,1.991869189460502e-09,2985,0.11106861967175952,1.0057564834418751e-05,0.1020341438398723,7.382617464233085e-05,1.5153627429296332,True,3.2202532314671634e-06,50,0.995
ALL,2024-01-01,Q0.9000_0.9500,1.0408581057340593e-06,1.0095748118931288e-08,1592,0.061818760950653306,8.327680642433945e-06,0.08290361629398142,0.00023689977571323269,5.76929308777898,True,1.8115922573503327e-06,50,0.995
EX:SYNX,2024-01-01,Q0.8000_0.9000,2.168186420564758e-06,2.1286108957458152e-08,1592,0.061007125126893325,2.4628920989915695e-05,3.4055551102712854e-05,0.0003177903406698519,2.6682765193918874,True,7.2455195326540835e-06,50,0.9975
EX:SYNY,2024-01-01,Q0.8000_0.9000,4.37051322171027e-06,2.7345106619719114e-08,1592,0.24985395500546914,2.6067481870360775e-05,0.1314499956639033,0.00015188987391127147,1.2028859392719942,True,5.796725418921348e-06,50,0.9975
ALL,2024-01-01,Q0.8000_0.9000,1.4569847826713387e-06,1.991869189460502e-09,2985,0.11106861967175952,1.0057564834418751e-05,0.1020341438398723,7.382617464233085e-05,1.5153627429296332,True,3.2202532314671634e-06,50,0.9975
ALL,2024-01-01,Q0.9000_0.9500,1.0408581057340593e-06,1.0095748118931288e-08,1592,0.061818760950653306,8.327680642433945e-06,0.08290361629398142,0.00023689977571323269,5.76929308777898,True,1.8115922573503327e-06,50,0.9975
EX:SYNX,2024-01-01,Q0.8000_0.9000,2.168186420564758e-06,2.1286108957458152e-08,1592,0.061007125126893325,2.4628920989915695e-05,3.4055551102712854e-05,0.0003177903406698519,2.6682765193918874,True,7.2455195326540835e-06,50,0.999
EX:SYNY,2024-01-01,Q0.8000_0.9000,4.37051322171027e-06,2.7345106619719114e-08,1592,0.24985395500546914,2.6067481870360775e-05,0.1314499956639033,0.00015188987391127147,1.2028859392719942,True,5.796725418921348e-06,50,0.999
ALL,2024-01-01,Q0.8000_0.9000,1.4569847826713387e-06,1.991869189460502e-09,2985,0.11106861967175952,1.0057564834418751e-05,0.1020341438398723,7.382617464233085e-05,1.5153627429296332,True,3.2202532314671634e-06,50,0.999
ALL,2024-01-01,Q0.9000_0.9500,1.0408581057340593e-06,1.0095748118931288e-08,1592,0.061818760950653306,8.327680642433945e-06,0.08290361629398142,0.00023689977571323269,5.76929308777898,True,1.8115922573503327e-06,50,0.999
EX:SYNX,2024-01-01,Q0.8000_0.9000,4.336690206856421e-06,3.225555201048989e-08,1584,0.06100716860353095,4.9261447218199466e-05,3.405465911336066e-05,0.0006372324907515151,2.675015317416257,True,2.8840638677851133e-05,100,0.995
EX:SYNY,2024-01-01,Q0.8000_0.9000,8.741666169554182e-06,4.1988537816408307e-08,1584,0.2498541329514693,5.213879259232422e-05,0.13144994344889807,0.00030456907926227115,1.2059229140046726,True,2.307373968212462e-05,100,0.995
ALL,2024-01-01,Q0.8000_0.9000,2.9139695653427146e-06,1.559214102744195e-08,2985,0.11106861967175963,2.011407836264693e-05,0.10123265232888752,0.00014822633582367508,1.5213336916651115,True,1.2880987413006186e-05,100,0.995
ALL,2024-01-01,Q0.9000_0.9500,2.081716211468343e-06,1.5269617332616637e-08,1592,0.06181876095066774,2.46145854979897e-05,0.0001485204698551971,0.00071245822943222,5.870199835405378,True,7.245343229545125e-06,100,0.995
EX:SYNX,2024-01-01,Q0.8000_0.9000,4.336690206856421e-06,3.225555201048989e-08,1584,0.06100716860353095,4.9261447218199466e-05,3.405465911336066e-05,0.0006372324907515151,2.675015317416257,True,2.8840638677851133e-05,100,0.9975
EX:SYNY,2024-01-01,Q0.8000_0.9000,8.741666169554182e-06,4.1988537816408307e-08,1584,0.2498541329514693,5.213879259232422e-05,0.13144994344889807,0.00030456907926227115,1.2059229140046726,True,2.307373968212462e-05,100,0.9975
ALL,2024-01-01,Q0.8000_0.9000,2.9139695653427146e-06,1.559214102744195e-08,2985,0.11106861967175963,2.011407836264693e-05,0.10123265232888752,0.00014822633582367508,1.5213336916651115,True,1.2880987413006186e-05,100,0.9975
ALL,2024-01-01,Q0.9000_0.9500,2.081716211468343e-06,1.5269617332616637e-08,1592,0.06181876095066774,2.46145854979897e-05,0.0001485204698551971,0.00071245822943222,5.870199835405378,True,7.245343229545125e-06,100,0.9975
EX:SYNX,2024-01-01,Q0.8000_0.9000,4.336690206856421e-06,3.225555201048989e-08,1584,0.06100716860353095,4.9261447218199466e-05,3.405465911336066e-05,0.0006372324907515151,2.675015317416257,True,2.8840638677851133e-05,100,0.999
EX:SYNY,2024-01-01,Q0.8000_0.9000,8.741666169554182e-06,4.1988537816408307e-08,1584,0.2498541329514693,5.213879259232422e-05,0.13144994344889807,0.00030456907926227115,1.2059229140046726,True,2.307373968212462e-05,100,0.999
ALL,2024-01-01,Q0.8000_0.9000,2.9139695653427146e-06,1.559214102744195e-08,2985,0.11106861967175963,2.011407836264693e-05,0.10123265232888752,0.00014822633582367508,1.5213336916651115,True,1.2880987413006186e-05,100,0.999
ALL,2024-01-01,Q0.9000_0.9500,2.081716211468343e-06,1.5269617332616637e-08,1592,0.06181876095066774,2.46145854979897e-05,0.0001485204698551971,0.00071245822943222,5.870199835405378,True,7.245343229545125e-06,100,0.999
